|dates|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Logan_NorthDakota_UnitedStates.Male_Total_Population.data|Logan_NorthDakota_UnitedStates.Male_Total_Population.missing|Logan_NorthDakota_UnitedStates.Female_Total_Population.data|Logan_NorthDakota_UnitedStates.Female_Total_Population.missing|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Logan_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-11-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-11-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-01|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-02|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-03|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-04|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-05|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-06|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-07|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-08|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-09|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-10|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-11|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-12|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-13|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-14|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-15|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-16|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-17|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-18|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-19|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-20|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-21|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-22|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-23|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-24|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-25|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-26|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-27|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-28|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-29|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-30|494.0|0|983.0|0|920.0|0|438.0|0
0|2020-12-31|494.0|0|983.0|0|920.0|0|438.0|0
